Site,,Last obs.,"Span
(yr)",Available,Processed,Not estimated,No solution
,First obs.,,,,,,
,,,,,,,
LZHK,15-08-2022,11-07-2026,3.9,1192,1162,26,0
MAKD,01-09-2022,21-06-2026,3.8,1169,1156,10,0
MAKT,28-06-2022,11-07-2026,4.0,1355,1338,12,0
MBRS,28-06-2022,11-07-2026,4.0,1411,1396,12,0
MKKL,01-07-2022,11-07-2026,4.0,1291,1279,12,0
MKRG,27-06-2022,11-07-2026,4.0,1259,1244,12,1
MKRJ,28-06-2022,11-07-2026,4.0,1434,1422,12,0
MKSK,28-06-2022,11-07-2026,4.0,1156,1138,15,0
MSAS,28-06-2022,11-07-2026,4.0,1334,1315,19,0
MSAT,28-06-2022,11-07-2026,4.0,1408,1384,24,0
MSYA,30-06-2022,11-07-2026,4.0,1284,1259,25,0
NARS,12-07-2022,11-07-2026,4.0,1165,1154,8,0
NKZR,04-01-2023,11-07-2026,3.5,781,770,4,0
NQZL,27-08-2022,11-07-2026,3.9,970,959,10,0
NZHG,25-07-2022,01-07-2026,3.9,1161,1135,23,0
NZHS,28-06-2022,11-07-2026,4.0,880,579,13,0
PKOS,27-06-2022,29-03-2026,3.8,1222,1210,11,0
PKRB,28-06-2022,11-07-2026,4.0,1353,1341,12,0
PKRM,28-06-2022,11-07-2026,4.0,1034,933,33,11
PTRG,29-06-2022,11-07-2026,4.0,971,956,12,0
PUZK,28-06-2022,11-07-2026,4.0,1359,1342,17,0
PZHT,07-12-2022,11-07-2026,3.6,1135,1130,5,0
RAKT,28-06-2022,11-07-2026,4.0,1317,1303,14,0
RBEY,28-06-2022,21-06-2026,4.0,1263,1015,248,0
RBLS,28-06-2022,11-07-2026,4.0,1117,1104,12,0
RJNO,01-07-2022,11-07-2026,4.0,1108,1094,5,1
RKYZ,04-01-2023,11-07-2026,3.5,996,991,3,0
RTSH,28-06-2022,10-07-2026,4.0,869,849,10,0
SBYA,12-07-2022,11-07-2026,4.0,1015,1006,7,0
SEKB,27-06-2022,21-06-2026,4.0,1300,1288,12,0
SJLZ,22-08-2022,11-07-2026,3.9,1038,1027,11,0
SPAV,05-09-2022,11-07-2026,3.8,954,936,5,0
SSHB,17-11-2022,11-07-2026,3.6,1174,1168,5,0
TNIS,28-06-2022,11-07-2026,4.0,1380,1371,9,0
TPET,04-01-2023,11-07-2026,3.5,951,942,7,0
TTLS,28-06-2022,11-07-2026,4.0,1168,1158,10,0
XKZE,28-06-2022,10-07-2026,4.0,1041,1028,9,0
XSHM,28-06-2022,11-07-2026,4.0,1231,1217,11,0
XTUR,28-06-2022,11-07-2026,4.0,1412,1401,11,0
XZHT,28-06-2022,11-07-2026,4.0,1315,1287,19,0
ZNUR,28-06-2022,11-07-2026,4.0,1375,1364,11,0
