,,,,,,,,
,Station,,,Preliminary status,,,Observation,
,,,,,,,,
,,,,,,,,
DKOM,,,,Velocity/covariance solution not,,,Review the coordinate series and identify the interval,
,,,,accepted,,,responsible for the unrealistic preliminary estimate.,
,,,,,,,,
,,,,,,,,
HMYA,,,,Velocity/covariance solution not,,,Review the anomalous coordinate behaviour before attempting,
,,,,accepted,,,a new velocity estimate.,
,,,,,,,,
,,,,,,,,
EGAN,,,Excluded,,,,The four-character identifier duplicates an existing station name,
,,,,,,,and the preliminary solution was not retained.,
,,,,,,,,
,,,,,,,,
PARK,,,Excluded,,,,The four-character identifier duplicates an existing station name,
,,,,,,,and the preliminary solution was not retained.,
,,,,,,,,
,,,,,,,,
LZHK,,,,Flagged in the Eurasia-relative,,,The current relative motion is inconsistent with the general,
,,,,field,,,network pattern and requires further analysis.,
,,,,,,,,
,,,,,,,,
RBLS,,,,Flagged in the Eurasia-relative,,,The current relative motion is inconsistent with the general,
,,,,field,,,network pattern and requires further analysis.,
,,,,,,,,
,,,,,,,,
XSHM,,,,Flagged in the Eurasia-relative,,,The current relative motion is inconsistent with the general,
,,,,field,,,network pattern and requires further analysis.,
,,,,,,,,
