Site,First_obs,Last_obs,Span_yr,Available,Processed,Not_estimated,No_solution,source_file,IGS_ID,SiteName,Latitude_deg,Longitude_deg,Ellipsoidal_height_m,Antenna_model,Antenna_serial,Antenna_height_m,Receiver_model,Receiver_serial,DOMES_number,Operator_institution
EIND,28-06-2022,11-07-2026,4.0,1404,1381,23,0,data/processed/candidates_summary/candidates_summary.csv,EIND00KAZ,Inderbor,48.555818785,51.733138219,1.299,LEIAR25.R4,726645,0.0,LEICA GR30,1701657,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
EIND,28-06-2022,11-07-2026,4.0,1404,1381,23,0,data/processed/candidates_summary/candidates_summary.csv,EIND00KAZ,Inderbor,48.555818785,51.733138219,1.299,LEIAR25.R4,726645,0.0,LEICA GR30,1701657,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
EIND,28-06-2022,11-07-2026,4.0,1404,1381,23,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page004_idx01.csv,EIND00KAZ,Inderbor,48.555818785,51.733138219,1.299,LEIAR25.R4,726645,0.0,LEICA GR30,1701657,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
LORA,28-06-2022,11-07-2026,4.0,1419,1386,33,0,data/processed/candidates_summary/candidates_summary.csv,LORA00KAZ,Uralsk,51.211640009,51.373656528,43.14,LEIAR25.R4,727386,0.0,LEICA GR50,2090082,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
LORA,28-06-2022,11-07-2026,4.0,1419,1386,33,0,data/processed/candidates_summary/candidates_summary.csv,LORA00KAZ,Uralsk,51.211640009,51.373656528,43.14,LEIAR25.R4,727386,0.0,LEICA GR50,2090082,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
LORA,28-06-2022,11-07-2026,4.0,1419,1386,33,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page004_idx01.csv,LORA00KAZ,Uralsk,51.211640009,51.373656528,43.14,LEIAR25.R4,727386,0.0,LEICA GR50,2090082,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
RBEY,28-06-2022,21-06-2026,4.0,1263,1015,248,0,data/processed/candidates_summary/candidates_summary.csv,RBEY00KAZ,Beineu,45.264827065,55.177152981,19.733,LEIAR25.R4,726623,0.0,LEICA GR30,1701668,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
RBEY,28-06-2022,21-06-2026,4.0,1263,1015,248,0,data/processed/candidates_summary/candidates_summary.csv,RBEY00KAZ,Beineu,45.264827065,55.177152981,19.733,LEIAR25.R4,726623,0.0,LEICA GR30,1701668,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
RBEY,28-06-2022,21-06-2026,4.0,1263,1015,248,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,RBEY00KAZ,Beineu,45.264827065,55.177152981,19.733,LEIAR25.R4,726623,0.0,LEICA GR30,1701668,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
RAKT,28-06-2022,11-07-2026,4.0,1317,1303,14,0,data/processed/candidates_summary/candidates_summary.csv,RAKT00KAZ,Aktau,43.63496978,51.167815593,5.184,LEIAR25.R4,727406,0.0,LEICA GR50,2090086,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
RAKT,28-06-2022,11-07-2026,4.0,1317,1303,14,0,data/processed/candidates_summary/candidates_summary.csv,RAKT00KAZ,Aktau,43.63496978,51.167815593,5.184,LEIAR25.R4,727406,0.0,LEICA GR50,2090086,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
RAKT,28-06-2022,11-07-2026,4.0,1317,1303,14,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,RAKT00KAZ,Aktau,43.63496978,51.167815593,5.184,LEIAR25.R4,727406,0.0,LEICA GR50,2090086,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
PZHT,07-12-2022,11-07-2026,3.6,1135,1130,5,0,data/processed/candidates_summary/candidates_summary.csv,PZHT00KAZ,Jitiqara,52.182009915,61.189277552,262.412,LEIAR25.R4,726654,0.0,LEICA GR50,1871765,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
PZHT,07-12-2022,11-07-2026,3.6,1135,1130,5,0,data/processed/candidates_summary/candidates_summary.csv,PZHT00KAZ,Jitiqara,52.182009915,61.189277552,262.412,LEIAR25.R4,726654,0.0,LEICA GR50,1871765,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
PZHT,07-12-2022,11-07-2026,3.6,1135,1130,5,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,PZHT00KAZ,Jitiqara,52.182009915,61.189277552,262.412,LEIAR25.R4,726654,0.0,LEICA GR50,1871765,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
DYRG,27-06-2022,11-07-2026,4.0,1423,1402,20,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page004_idx01.csv,DYRG00KAZ,Yrgyz,48.619938033,61.235736778,94.615,LEIAR25.R4,726624,0.0,LEICA GR30,1701712,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
DYRG,27-06-2022,11-07-2026,4.0,1423,1402,20,0,data/processed/candidates_summary/candidates_summary.csv,DYRG00KAZ,Yrgyz,48.619938033,61.235736778,94.615,LEIAR25.R4,726624,0.0,LEICA GR30,1701712,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
DYRG,27-06-2022,11-07-2026,4.0,1423,1402,20,0,data/processed/candidates_summary/candidates_summary.csv,DYRG00KAZ,Yrgyz,48.619938033,61.235736778,94.615,LEIAR25.R4,726624,0.0,LEICA GR30,1701712,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
NARS,12-07-2022,11-07-2026,4.0,1165,1154,8,0,data/processed/candidates_summary/candidates_summary.csv,NARS00KAZ,Aralsk,46.800017622,61.6767517,33.688,LEIAR25.R4,726653,0.0,LEICA GR30,1701663,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
NARS,12-07-2022,11-07-2026,4.0,1165,1154,8,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,NARS00KAZ,Aralsk,46.800017622,61.6767517,33.688,LEIAR25.R4,726653,0.0,LEICA GR30,1701663,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
